JAK2,PIK3CG
JAK2,PIK3CD
JAK2,HRAS
JAK2,PIK3CB
JAK2,PIK3R1
JAK2,FOS
GNG7,GNB4
GNG7,GNAI1
GNG7,GNB5
GNG7,GNAI2
GNG7,GNAI3
GNG7,GNB3
GNG7,GNB1
GNG7,GNB2
ARNTL,CLOCK
PPP2R3B,PPP2R1B
PPP2R3B,PPP2CA
PPP2R3B,PPP2R1A
AKT2,GSK3B
AKT2,PIK3R1
AKT2,PIK3CA
AKT2,GSK3A
AKT2,PIK3CG
AKT2,PIK3CB
AKT2,PIK3CD
AKT2,CREB1
